001,124,120
002,124,121
003,0,116
004,124,121
005,124,120
006,124,120
007,124,121
008,124,121
009,0,91
010,124,120
011,124,121
012,124,121
013,124,120
014,124,120
015,0,107
016,124,120
017,124,121
018,0,49
019,124,121
020,124,121
021,124,120
022,124,121
023,124,121
024,0,28
025,124,120
026,124,121
027,124,120
028,124,121
029,124,120
030,124,121
031,0,59
032,124,121
033,0,36
034,124,120
035,124,121
036,124,120
037,124,121
038,124,120
039,124,121
040,124,120
041,124,120
042,124,120
043,124,121
044,124,120
045,124,121
046,124,120
047,0,105
048,124,121
049,124,120
050,124,121
