datafile,circles,path_vectors,solve_time_sec
data/data030-001.json,11,235,0.462468375
data/data030-002.json,10,56,0.0156375
data/data030-003.json,9,38,0.008595792
data/data030-004.json,8,26,0.003888542
data/data030-005.json,8,32,0.003630834
data/data030-006.json,8,24,0.004553083
data/data030-007.json,9,30,0.007607333
data/data030-008.json,9,61,0.007541042
data/data030-009.json,8,10,0.003594584
data/data030-010.json,9,9,0.007367417
data/data030-011.json,8,24,0.004471333
data/data030-012.json,8,24,0.004795458
data/data030-013.json,9,19,0.007715
data/data030-014.json,9,53,0.009057167
data/data030-015.json,9,56,0.006679167
data/data030-016.json,8,22,0.004544791
data/data030-017.json,8,28,0.003615208
data/data030-018.json,10,119,0.014882416
data/data030-019.json,9,46,0.007852875
data/data030-020.json,7,10,0.001809375
data/data030-021.json,10,137,0.016012042
data/data030-022.json,9,38,0.007909041
data/data030-023.json,8,16,0.003533708
data/data030-024.json,9,70,0.008334083
data/data030-025.json,8,29,0.003726041
data/data030-026.json,9,57,0.006570208
data/data030-027.json,10,125,0.013291292
data/data030-028.json,10,143,0.016301375
data/data030-029.json,10,90,0.015582042
data/data030-030.json,10,91,0.014520791
data/data030-031.json,8,18,0.003608416
data/data030-032.json,9,27,0.008360291
data/data030-033.json,9,52,0.006983792
data/data030-034.json,9,51,0.007729208
data/data030-035.json,7,3,0.0017195
data/data030-036.json,9,28,0.007841458
data/data030-037.json,10,78,0.013697583
data/data030-038.json,10,126,0.015259959
data/data030-039.json,9,60,0.009002875
data/data030-040.json,10,177,0.013789708
data/data030-041.json,9,52,0.006935041
data/data030-042.json,9,42,0.008057167
data/data030-043.json,9,29,0.007399458
data/data030-044.json,11,128,0.032483208
data/data030-045.json,8,12,0.004287084
data/data030-046.json,9,48,0.007178792
data/data030-047.json,8,20,0.003719041
data/data030-048.json,9,62,0.00830925
data/data030-049.json,8,26,0.00340975
data/data030-050.json,9,45,0.008324167
