datafile,circles,path_vectors,solve_time_sec
data/data040-001.json,5,2,0.425578
data/data040-002.json,5,1,0.000442
data/data040-003.json,5,1,0.000472708
data/data040-004.json,5,1,0.000500083
data/data040-005.json,5,1,0.000478375
data/data040-006.json,6,2,0.001011625
data/data040-007.json,5,1,0.000506458
data/data040-008.json,6,2,0.000977792
data/data040-009.json,7,5,0.002069041
data/data040-010.json,5,0,0.000499458
data/data040-011.json,5,0,0.000500875
data/data040-012.json,6,3,0.000971708
data/data040-013.json,5,1,0.000488416
data/data040-014.json,5,1,0.0004835
data/data040-015.json,6,4,0.00089925
data/data040-016.json,6,6,0.001002042
data/data040-017.json,6,2,0.001025333
data/data040-018.json,6,3,0.000974
data/data040-019.json,5,2,0.000476917
data/data040-020.json,5,1,0.0004965
data/data040-021.json,6,0,0.000997916
data/data040-022.json,7,9,0.004895667
data/data040-023.json,7,2,0.001822917
data/data040-024.json,6,2,0.000914416
data/data040-025.json,6,4,0.000889583
data/data040-026.json,5,2,0.000437167
data/data040-027.json,5,3,0.000448875
data/data040-028.json,5,1,0.000430209
data/data040-029.json,6,1,0.0009025
data/data040-030.json,6,2,0.000898
data/data040-031.json,7,8,0.00190525
data/data040-032.json,6,2,0.000961417
data/data040-033.json,5,1,0.00044775
data/data040-034.json,6,3,0.000931625
data/data040-035.json,5,2,0.000443541
data/data040-036.json,5,0,0.000435209
data/data040-037.json,6,1,0.000931416
data/data040-038.json,6,2,0.000888209
data/data040-039.json,5,1,0.001495083
data/data040-040.json,6,1,0.000851042
data/data040-041.json,6,4,0.00085475
data/data040-042.json,7,0,0.001865667
data/data040-043.json,6,2,0.000892416
data/data040-044.json,6,2,0.000926
data/data040-045.json,6,3,0.000875209
data/data040-046.json,5,1,0.000424708
data/data040-047.json,4,1,0.000199208
data/data040-048.json,6,2,0.000920791
data/data040-049.json,5,1,0.000435583
data/data040-050.json,6,3,0.000929792
