datafile,n,evaluations,checked_exact,mismatches,min_abs_margin,min_rel_margin,converged
data/data014-001.json,38,503424,0,0,2.150764e-08,1.344228e-07,true
data/data014-002.json,40,627200,0,0,9.048671e-08,2.262168e-06,true
data/data014-003.json,39,641472,0,0,2.116310e-07,1.322694e-06,true
data/data014-004.json,35,533120,0,0,2.904076e-07,1.962219e-06,true
data/data014-005.json,36,412416,0,0,8.787587e-07,2.196897e-05,true
data/data014-006.json,37,596736,0,0,4.405581e-07,2.753488e-06,true
data/data014-007.json,32,270336,0,0,2.877564e-06,1.798477e-05,true
data/data014-008.json,38,598272,0,0,3.797136e-08,2.373210e-07,true
data/data014-009.json,37,478336,0,0,1.718039e-07,1.119592e-06,true
data/data014-010.json,40,924160,0,0,8.509996e-08,5.318748e-07,true
data/data014-011.json,35,658560,0,0,3.907653e-09,9.769132e-08,true
data/data014-012.json,39,661440,0,0,3.645892e-08,9.114730e-07,true
data/data014-013.json,39,599040,0,0,6.269630e-08,3.918519e-07,true
data/data014-014.json,35,497280,0,0,1.652766e-07,3.294099e-06,true
data/data014-015.json,36,456192,0,0,3.446885e-07,3.278667e-06,true
data/data014-016.json,35,360640,0,0,3.241432e-08,2.025895e-07,true
data/data014-017.json,38,804992,0,0,8.618819e-08,5.386762e-07,true
data/data014-018.json,37,352832,0,0,9.329738e-07,1.193871e-05,true
data/data014-019.json,36,393984,0,0,1.921468e-07,3.324449e-06,true
data/data014-020.json,35,667520,0,0,8.310915e-08,5.194322e-07,true
data/data014-021.json,38,481536,0,0,6.000566e-08,1.500142e-06,true
data/data014-022.json,37,750656,0,0,3.991670e-07,3.232810e-06,true
data/data014-023.json,37,561216,0,0,5.567090e-07,5.424077e-06,true
data/data014-024.json,37,464128,0,0,5.926914e-07,1.174810e-05,true
data/data014-025.json,38,576384,0,0,2.453827e-08,1.533642e-07,true
data/data014-026.json,39,636480,0,0,1.482493e-07,3.706234e-06,true
data/data014-027.json,35,318080,0,0,1.429142e-06,8.932139e-06,true
data/data014-028.json,38,612864,0,0,4.638441e-08,1.159610e-06,true
data/data014-029.json,39,786240,0,0,1.754669e-08,4.386673e-07,true
data/data014-030.json,37,433344,0,0,2.858055e-07,1.786284e-06,true
data/data014-031.json,37,487808,4,0,4.284093e-10,2.677558e-09,true
data/data014-032.json,37,539904,0,0,2.024418e-07,3.604003e-06,true
data/data014-033.json,37,381248,0,0,1.113543e-06,6.959646e-06,true
data/data014-034.json,35,425600,0,0,4.539879e-07,3.093435e-06,true
data/data014-035.json,37,487808,0,0,9.026601e-08,1.280429e-06,true
data/data014-036.json,37,473600,0,0,1.764305e-09,4.410762e-08,true
data/data014-037.json,40,665600,0,0,3.616688e-07,2.260430e-06,true
data/data014-038.json,34,317696,0,0,1.264330e-07,7.902060e-07,true
data/data014-039.json,38,656640,0,0,2.813714e-08,7.034284e-07,true
data/data014-040.json,33,333696,0,0,2.635376e-07,6.588441e-06,true
data/data014-041.json,38,527744,0,0,2.182872e-07,1.364295e-06,true
data/data014-042.json,37,539904,0,0,1.138570e-06,1.641296e-05,true
data/data014-043.json,36,601344,0,0,2.285564e-09,1.428477e-08,true
data/data014-044.json,38,508288,0,0,3.383645e-07,4.678414e-06,true
data/data014-045.json,38,736896,0,0,6.227803e-08,3.892377e-07,true
data/data014-046.json,34,235008,0,0,9.385583e-07,5.865989e-06,true
data/data014-047.json,36,852480,0,0,9.229627e-09,2.175613e-07,true
data/data014-048.json,37,622784,0,0,1.110745e-07,6.942155e-07,true
data/data014-049.json,38,301568,0,0,2.367295e-07,5.918238e-06,true
data/data014-050.json,37,430976,0,0,1.523422e-07,9.521387e-07,true
