CSV: data/binary008.csv
Reliability(all): 0.900000
Gridsize: 4
Maxlevel: 10
Number of circles: 105

Progress (level 3): 99 / 604 (16.400000%) ETA: 5.250000s
Progress (level 3): 100 / 608 (16.400000%) ETA: 5.740000s
Progress (level 3): 101 / 612 (16.500000%) ETA: 6.170000s
Progress (level 3): 102 / 615 (16.600000%) ETA: 6.500000s
Progress (level 3): 103 / 617 (16.700000%) ETA: 6.820000s
Progress (level 3): 104 / 617 (16.900000%) ETA: 7.240000s
Progress (level 3): 105 / 621 (16.900000%) ETA: 7.760000s
Progress (level 3): 106 / 621 (17.100000%) ETA: 7.900000s
Progress (level 3): 107 / 627 (17.100000%) ETA: 8.470000s
Progress (level 3): 108 / 634 (17.000000%) ETA: 9.880000s
Progress (level 3): 109 / 636 (17.100000%) ETA: 10.670000s
Progress (level 3): 110 / 636 (17.300000%) ETA: 10.720000s
Progress (level 3): 111 / 637 (17.400000%) ETA: 10.650000s
Progress (level 3): 112 / 637 (17.600000%) ETA: 10.550000s
Progress (level 3): 113 / 637 (17.700000%) ETA: 10.460000s
Progress (level 3): 114 / 637 (17.900000%) ETA: 10.360000s
Progress (level 3): 115 / 637 (18.100000%) ETA: 10.290000s
Progress (level 3): 116 / 637 (18.200000%) ETA: 10.190000s
Progress (level 3): 117 / 637 (18.400000%) ETA: 10.110000s
Progress (level 3): 118 / 644 (18.300000%) ETA: 10.560000s
Progress (level 3): 119 / 646 (18.400000%) ETA: 10.600000s
Progress (level 3): 120 / 648 (18.500000%) ETA: 10.680000s
Progress (level 3): 121 / 650 (18.600000%) ETA: 10.780000s
Progress (level 3): 122 / 652 (18.700000%) ETA: 10.810000s
Progress (level 3): 123 / 653 (18.800000%) ETA: 10.830000s
Progress (level 3): 124 / 653 (19.000000%) ETA: 10.790000s
Progress (level 3): 125 / 655 (19.100000%) ETA: 10.860000s
Progress (level 3): 126 / 661 (19.100000%) ETA: 11.580000s
Progress (level 3): 127 / 668 (19.000000%) ETA: 11.830000s
Progress (level 3): 128 / 680 (18.800000%) ETA: 12.510000s
Progress (level 3): 129 / 692 (18.600000%) ETA: 13.860000s
Progress (level 3): 130 / 705 (18.400000%) ETA: 14.930000s
Progress (level 3): 131 / 711 (18.400000%) ETA: 16.010000s
Progress (level 3): 132 / 721 (18.300000%) ETA: 17.140000s
Progress (level 3): 133 / 726 (18.300000%) ETA: 18.000000s
Progress (level 3): 134 / 738 (18.200000%) ETA: 20.200000s
Progress (level 3): 135 / 738 (18.300000%) ETA: 20.600000s
Progress (level 3): 136 / 741 (18.400000%) ETA: 21.710000s
Progress (level 3): 137 / 746 (18.400000%) ETA: 23.500000s
Progress (level 3): 138 / 749 (18.400000%) ETA: 24.950000s
Progress (level 3): 139 / 755 (18.400000%) ETA: 26.090000s
Progress (level 3): 140 / 755 (18.500000%) ETA: 26.390000s
Progress (level 3): 141 / 758 (18.600000%) ETA: 27.490000s
Progress (level 3): 142 / 762 (18.600000%) ETA: 28.540000s
Progress (level 3): 143 / 774 (18.500000%) ETA: 31.240000s
Progress (level 3): 144 / 788 (18.300000%) ETA: 40.590000s
Progress (level 3): 145 / 794 (18.300000%) ETA: 46.130000s
Progress (level 3): 146 / 799 (18.300000%) ETA: 54.860000s
Progress (level 3): 147 / 806 (18.200000%) ETA: 60.470000s
Progress (level 3): 148 / 812 (18.200000%) ETA: 66.710000s
Progress (level 3): 149 / 820 (18.200000%) ETA: 82.720000s
Progress (level 3): 150 / 829 (18.100000%) ETA: 91.750000s
Progress (level 3): 151 / 838 (18.000000%) ETA: 101.430000s
Progress (level 3): 152 / 846 (18.000000%) ETA: 105.720000s
Progress (level 3): 153 / 853 (17.900000%) ETA: 111.540000s
