datafile,n,converged,R_lower,R_upper,ub_minus_lb,gap_direct,gap_minterms,nodes_gap
data/data010-045.json,68,false,0.99899985639136335,0.99899985639136335,0.000e+00,7.275259e-26,7.585396e+11,200
data/data009-032.json,88,false,0.99998873618824669,0.99998873618824669,0.000e+00,7.151345e-18,1.689334e+20,12017
data/data008-009.json,108,false,0.99999989788946975,0.99999989788946975,0.000e+00,7.151490e-23,6.003384e+24,12543
data/data008-044.json,105,false,0.99999997757981995,0.99999997757981995,0.000e+00,7.274677e-32,1.607162e+21,438
